item_name,dual_wield_option,generic_caster_staff,monk_gloves,early_replacement
Adamantine Mace,yes,,,
Adamantine Scimitar,yes,,,
Ambusher,yes,,,
Argument Solver,,,,
Assassin's Shortsword,yes,,,
Assassin's Touch,yes,,,
Balduran's Giantslayer,,,,
Belm,yes,,,
Bigboy's Chew Toy,yes,,,
Blade of Oppressed Souls,yes,,,
Blightbringer,yes,,,
Blooded Greataxe,,,,
Bloodthirst,yes,,,
Bow of the Banshee,,,,
Cacophony,yes,,,
Caitiff Staff,,yes,,
Charge-Bound Warhammer,yes,,,
Clown Hammer,yes,,,
Club of Hill Giant Strength,yes,,,
Cold Snap,yes,,,
Corpsegrinder,,,,
Corrosive Flail,yes,,,
Creation's Echo,,yes,,
Crimson Mischief,yes,,,
Crossbow of Arcane Force,,,,
Cruel Sting,yes,,,
Darkfire Shortbow,,,,
Defender Flail,yes,,,
Defender Greataxe,,,,
Devotee's Mace,,,,Staff of Arcane Blessing
Dolor Amarus,yes,,,
Doom Hammer,,,,
Dragon's Grasp,yes,,,
Drakethroat Glaive,,,,
Dread Iron Dagger,yes,,,
Duellist's Prerogative,yes,,,
Duke Ravengard's Longsword,yes,,,
Dwarven Thrower,yes,,,Comeback Handaxe
Everburn Blade,,,,
Exterminator's Axe,,,,
Fabricated Arbalest,,,,Giantbreaker
Firestoker,,,,
Flail of Ages,yes,,,
Fleshrender,yes,,,
Gleamdance Dagger,yes,,,
Hamarhraft,,,,
Hammer of the Just,yes,,,
Handmaiden's Mace,yes,,,
Harmonic Dueller,yes,,,
Harmonium Halberd,,,,
Harold,,,,
Harper Sacredstriker,,yes,,
Hellbeard Halberd,,,,
Hellfire Engine Crossbow,,,,
Hellfire Greataxe,,,,
Hellfire Hand Crossbow,,,,
Hunter's Dagger,yes,,,
Hunting Shortbow,,,,
Incandescent Staff,,,,
Infernal Mace (Uncommon),yes,,,Infernal Spear
Infernal Rapier,yes,,,
Intransigent Warhammer,yes,,,
Ironwood Club,yes,,,
Jagged Spear,yes,,,
Jorgoral's Greatsword,,,,
Justiciar's Scimitar,yes,,,
Ketheric's Warhammer,yes,,,
Knife of the Undermountain King,yes,,,
Kurwin's Cauteriser,yes,,,
Larethian's Wrath,yes,,,
Least Expected,,,,
Light of Creation,,,,
Lightning Jabber,yes,,,
Loviatar's Scourge,yes,,,
Markoheshkir,,,,
Monster Slayer Glaive,,,,
Moonlight Glaive,,,,
Mourning Frost,,,,
Myrkulite Scourge,yes,,,
Nature's Snare,yes,,,
Ne'er Misser,,,,
Nyrulna,yes,,,Returning Pike
Pale Oak,yes,,,
Rain Dancer,,,,
Rat Bat,,,,
Ravengard's Scourger,yes,,,
Render of Mind and Body,yes,,,
Rhapsody,yes,,,
Ritual Axe,yes,,,
Ritual Dagger of Shar,yes,,,Ritual Dagger
Rupturing Blade,yes,,,
Selûne's Spear of Night,yes,,,
Sethan,,,,
Shadow Lantern,yes,,,
Shar's Spear of Evening,yes,,,
Shattered Flail,yes,,,
Shortsword of First Blood,yes,,,
Sickle of BOOOAL,yes,,,
Silver Sword of the Astral Plane,,,,
Slicing Shortsword,yes,,,
Sorrow,,,,
Soulbreaker Greatsword,,,,
Spear of Night,yes,,,
Speedy Reply,yes,,,
Spellthief,,,,
Staff of Cherished Necromancy,,,,Hollow's Staff
Staff of Crones,,yes,,
Staff of Spellpower,,yes,,Melf's First Staff
Staff of a Mumbling Wizard,,,,
Staff of the Emperor,,yes,,
Staff of the Ram,ys,,,Corellon's Grace
Stillmaker,yes,,,
Sussur Dagger,yes,,,
Sussur Greatsword,,,,
Svartlebee's Woundseeker,,,,
Sword of Chaos,,,,Hoppy
Sword of Clutching Umbra,yes,,,
Sword of Justice,,,,
Sword of Screams,yes,,,
Sword of the Emperor,yes,,,
The Blood of Lathander,yes,,,
The Dancing Breeze,,,,
The Dead Shot,,,,
The Joltshooter,,,,
The Sacred Star,yes,,,
The Skinburster,,,,
The Sparky Points,yes,,,
The Spellsparkler,,yes,,
The Undead Bane,,,,
The Watcher's Guide,yes,,,
Thermodynamo Axe,yes,,,
Titanstring Bow,,,,
Trident of the Waves,yes,,,
Twist of Fortune,yes,,,
Unseen Menace,,,,
Very Heavy Greataxe,,,,
Vicious Battleaxe,yes,,,
Vision of the Absolute,yes,,,
Voss' Silver Sword,yes,,,
Witchbreaker,yes,,,
Woe,,yes,,
Xyanyde,yes,,,
Gloves of Cinder and Sizzle,,,yes,
Seraphic Pugilist Gloves,,,yes,
Servitor of the Black Hand Gloves,,,yes,
Snow-Dusted Monastery Gloves,,,yes,
Thunderpalm Strikers,,,yes,
Sparkle Hands,,,yes,
Scythe of Myrkul,,,,Deep Delver
Djinni Scimitar,yes,,,Thorn Blade
Makeshift Bow,,,,
Scimitar of Cinder,yes,,,
Trident of the Depths,yes,,,
Twisted Oak Crook,,,,
Magic Club,yes,,,
Flame Blade,yes,,,
Undead Slayer Crossbow,,,,Gandrel's Aspiration
Torch of Revocation,,,,Torch
Grenades and Elixirs,,,,
Improvised,,,,
Poo-Scraper,,,,
