subclass,levels,parent_class,capabilities
Barbarian,3,Barbarian,martial;tank;thrown;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force;improvised
Berserker,5;7,Barbarian,martial;tank;thrown;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force;improvised
Wildheart,5;7;11,Barbarian,martial;tank;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force;improvised
Wildmagic Barbarian,5;7,Barbarian,martial;tank;thrown;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force;improvised
Giant,6;9;10,Barbarian,martial;tank;thrown;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force;improvised
Lore,6;10,Bard,caster;healer;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force
Sword,3;6;10,Bard,martial;tank;thrown;caster;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force
Glamour,6;10,Bard,caster;healer;thunder;psychic;fire;cold;acid;lightning
Valour,6;10,Bard,martial;tank;thrown;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force;improvised
War,1;2;6;11,Cleric,martial;tank;fire;cold;lightning;thunder;acid;poison;radiant;necrotic
Trickery,5;11,Cleric,caster;healer;tank;radiant;necrotic
Life,1;5;11,Cleric,caster;healer;tank;radiant;necrotic
Knowledge,5;8;11,Cleric,caster;healer;tank;radiant;necrotic
Nature,3;8;11,Cleric,caster;healer;tank;fire;cold;lightning;thunder;acid;poison;radiant;necrotic
Tempest,2;6;11,Cleric,caster;tank;lightning;thunder;radiant
Light,5;9;11,Cleric,caster;tank;radiant;fire
Death,6;11,Cleric,caster;tank;radiant;necrotic
Moon,6;10,Druid,wildshape;acid;fire;cold;thunder;lightning;poison
Land,6;9;11,Druid,caster;shillelagh;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;summons
Spore,2;6;11,Druid,caster;shillelagh;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;summons
Star,2;6;11,Druid,caster;shillelagh;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;summons
Fighter,2,Fighter,martial;ranged;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force
Battle Master,3;5;7;11,Fighter,martial;ranged;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force
Champion,5;11,Fighter,martial;ranged;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force
Arcane Archer,5;7;11,Fighter,ranged;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force
Eldritch Knight,7;11,Fighter,martial;ranged;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force;thrown
Open Hand,6;9,Monk,unarmed;radiant;necrotic;psychic;force;fire;cold;lightning;improvised
Shadow Monk,6;11,Monk,martial;unarmed;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force;improvised
Four Elements,5;6,Monk,martial;unarmed;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force;improvised
Drunken,6;9,Monk,martial;unarmed;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force;improvised
Paladin,2,Paladin,martial;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force
Devotion,3;5,Paladin,martial;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force
Ancients,7,Paladin,martial;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force;healer
Vengeance,3;5,Paladin,martial;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force
Crown,3;5;7;9,Paladin,martial;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force
Oathbreaker,3;6;7,Paladin,martial;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force
Gloom Stalker,3;5;11,Ranger,martial;fire;cold;lightning;thunder;acid;poison;radiant;necrotic;psychic;force;ranged
